Poll_1,Question_ID_1,Question_1,Question_ID_2,Poll_2,Question_2
Religious Group (v5),2347,Does the religious group have scriptures:,4729,Religious Group (v6),Does the religious group have scriptures:
Religious Group (v5),2357,Eyes (stylized or not):,4767,Religious Group (v6),Eyes (stylized or not):
Religious Group (v5),2368,Is there a hierarchy among these leaders:,4702,Religious Group (v6),Is there a hierarchy among these leaders:
Religious Group (v5),2265,Is monumental religious architecture present:,4745,Religious Group (v6),Is monumental religious architecture present:
Religious Group (v5),2890,Is supernatural monitoring present:,4954,Religious Group (v6),Is supernatural monitoring present:
Religious Group (v5),2919,A supreme high god is present:,4828,Religious Group (v6),A supreme high god is present:
Religious Group (v5),2941,The supreme high god is anthropomorphic:,4829,Religious Group (v6),The supreme high god is anthropomorphic:
Religious Group (v5),3169,Does the religious group in question provide public food storage:,5188,Religious Group (v6),Does the religious group in question provide public food storage:
Religious Group (v5),2961,As cenotaphs:,4822,Religious Group (v6),As cenotaphs:
Religious Group (v5),2854,Human spirits can be seen:,4867,Religious Group (v6),Human spirits can be seen:
Religious Group (v5),2253,Are they written:,4730,Religious Group (v6),Are they written:
Religious Group (v5),2971,These supernatural beings can be seen:,4898,Religious Group (v6),These supernatural beings can be seen:
Religious Group (v5),3209,These mixed human-divine beings can be seen:,4920,Religious Group (v6),These mixed human-divine beings can be seen:
Religious Place (v1.1),5820,Are there distinct features in the places iconography:,4766,Religious Group (v6),Are there distinct features in the religious group's  iconography:
Religious Place (v1.1),5821,Eyes (stylized or not),4767,Religious Group (v6),Eyes (stylized or not):
Religious Place (v1.1),5868,Is a supreme high god is present:,4828,Religious Group (v6),A supreme high god is present:
Religious Place (v1.1),5898,Human spirits can be seen:,4898,Religious Group (v6),These supernatural beings can be seen:
Religious Place (v1.1),5922,Is supernatural monitoring present:,4954,Religious Group (v6),Is supernatural monitoring present:
Religious Place (v1.1),5978,Are pilgrimages present:,4762,Religious Group (v6),Are pilgrimages present:
Religious Place (v1.1),6035,Do large-scale rituals take place:,5154,Religious Group (v6),Does membership in this religious group require participation in large-scale rituals:
Religious Place (v1.1),6063,Public food distribution and/or storage,5188,Religious Group (v6),Does the religious group in question provide public food storage:
Religious Group (v6),4729,Does the religious group have scriptures:,,,
Religious Group (v6),4730,Are they written:,,,
Religious Group (v6),4745,Is monumental religious architecture present:,,,
Religious Group (v6),4828,A supreme high god is present:,,,
Religious Group (v6),4829,The supreme high god is anthropomorphic:,,,
Religious Group (v6),4898,These supernatural beings can be seen:,,,
Religious Group (v6),4954,Is supernatural monitoring present:,,,
Religious Group (v6),4702,Is there a hierarchy among these leaders:,,,
Religious Group (v6),5188,Does the religious group in question provide public food storage:,,,
Religious Group (v6),4822,As cenotaphs:,,,
Religious Group (v6),4767,Eyes (stylized or not):,,,
Religious Group (v6),4867,Human spirits can be seen:,,,
Religious Group (v6),4920,These mixed human-divine beings can be seen:,,,
Religious Place (v1.2),6497,Are there distinct features in the places iconography:,4766,Religious Group (v6),Are there distinct features in the religious group's  iconography:
Religious Place (v1.2),6545,Is a supreme high god is present:,4828,Religious Group (v6),A supreme high god is present:
Religious Place (v1.2),6599,Is supernatural monitoring present:,4954,Religious Group (v6),Is supernatural monitoring present:
Religious Place (v1.2),6655,Are pilgrimages present:,4762,Religious Group (v6),Are pilgrimages present:
Religious Place (v1.2),6712,Do large-scale rituals take place:,5154,Religious Group (v6),Does membership in this religious group require participation in large-scale rituals:
Religious Place (v1.2),6498,Eyes (stylized or not),4767,Religious Group (v6),Eyes (stylized or not):
Religious Place (v1.2),6575,Human spirits can be seen:,4898,Religious Group (v6),These supernatural beings can be seen:
Religious Place (v1.2),6546,Are they anthropomorphic:,4829,Religious Group (v6),The supreme high god is anthropomorphic:
Religious Place (v1.2),6540,As cenotaphs:,4822,Religious Group (v6),As cenotaphs:
Religious Place (v1.2),6740,Public food distribution and/or storage:,5188,Religious Group (v6),Does the religious group in question provide public food storage:
Religious Place (v1.2),6564,Human spirits can be seen:,4867,Religious Group (v6),Human spirits can be seen:
Religious Place (v1.2),6586,Mixed human-divine spirits can be seen:,4920,Religious Group (v6),These mixed human-divine beings can be seen:
Religious Place (v1.2),6748,Are they written:,4730,Religious Group (v6),Are they written:
Religious Text (v1.0),7992,A supreme high-god is present,4828,Religious Group (v6),A supreme high god is present:
Religious Text (v1.0),8040,Human spirits can be seen,4867,Religious Group (v6),Human spirits can be seen:
Religious Text (v1.0),8069,Supernatural beings can be seen,4898,Religious Group (v6),These supernatural beings can be seen:
Religious Text (v1.0),8135,Is supernatural monitoring present in the text?,4954,Religious Group (v6),Is supernatural monitoring present:
Religious Group (v5),2307,Are there distinct features in the religious group's  iconography:,4766,Religious Group (v6),Are there distinct features in the religious group's  iconography:
Religious Group (v5),2251,Supernatural beings (zoomorphic):,4768,Religious Group (v6),Supernatural beings (zoomorphic):
Religious Group (v5),2967,In cemetery:,4823,Religious Group (v6),In cemetery:
Religious Group (v5),2968,Previously human spirits are present:,4866,Religious Group (v6),Previously human spirits are present:
Religious Group (v5),2848,Human spirits can be physically felt:,4868,Religious Group (v6),Human spirits can be physically felt:
Religious Group (v5),2375,Are they oral:,4731,Religious Group (v6),Are they oral:
Religious Group (v5),2948,The supreme high god is a sky deity:,4830,Religious Group (v6),The supreme high god is a sky deity:
Religious Group (v5),2907,These supernatural beings can be physically felt:,4899,Religious Group (v6),These supernatural beings can be physically felt:
Religious Group (v5),3274,These mixed human-divine beings can be physically felt:,4921,Religious Group (v6),These mixed human-divine beings can be physically felt:
Religious Place (v1.1),5742,Is monumental architecture present:,4745,Religious Group (v6),Is monumental religious architecture present:
Religious Place (v1.1),5822,Supernatural beings (zoomorphic),4768,Religious Group (v6),Supernatural beings (zoomorphic):
Religious Place (v1.1),5878,Does the supreme high god communicates with the living at this place:,4858,Religious Group (v6),The supreme high god communicates with the living:
Religious Place (v1.1),5899,Human spritis can be phyiscally felt:,4899,Religious Group (v6),These supernatural beings can be physically felt:
Religious Place (v1.1),6036,Do small-scale rituals take place:,5152,Religious Group (v6),"Does membership in this religious group require participation in small-scale rituals (private, household):"
Religious Place (v1.1),6070,Are there scriptures associated with this place,4729,Religious Group (v6),Does the religious group have scriptures:
Religious Group (v6),4731,Are they oral:,,,
Religious Group (v6),4830,The supreme high god is a sky deity:,,,
Religious Group (v6),4866,Previously human spirits are present:,,,
Religious Group (v6),4899,These supernatural beings can be physically felt:,,,
Religious Group (v6),4766,Are there distinct features in the religious group's  iconography:,,,
Religious Group (v6),4823,In cemetery:,,,
Religious Group (v6),4768,Supernatural beings (zoomorphic):,,,
Religious Group (v6),4868,Human spirits can be physically felt:,,,
Religious Group (v6),4921,These mixed human-divine beings can be physically felt:,,,
Religious Place (v1.2),6419,Is monumental architecture present:,4745,Religious Group (v6),Is monumental religious architecture present:
Religious Place (v1.2),6555,Does the supreme high god communicate with the living at this place:,4858,Religious Group (v6),The supreme high god communicates with the living:
Religious Place (v1.2),6713,Do small-scale rituals take place:,5152,Religious Group (v6),"Does membership in this religious group require participation in small-scale rituals (private, household):"
Religious Place (v1.2),6747,Are there scriptures associated with this place:,4729,Religious Group (v6),Does the religious group have scriptures:
Religious Place (v1.2),6499,Supernatural beings (zoomorphic),4768,Religious Group (v6),Supernatural beings (zoomorphic):
Religious Place (v1.2),6576,Human spirits can be physically felt:,4899,Religious Group (v6),These supernatural beings can be physically felt:
Religious Place (v1.2),6547,Are they sky deity:,4830,Religious Group (v6),The supreme high god is a sky deity:
Religious Place (v1.2),6541,In cemetery:,4823,Religious Group (v6),In cemetery:
Religious Place (v1.2),6565,Human spirits can be physically felt:,4868,Religious Group (v6),Human spirits can be physically felt:
Religious Place (v1.2),6587,Mixed human-divine spirits can be physically felt:,4921,Religious Group (v6),These mixed human-divine beings can be physically felt:
Religious Place (v1.2),6750,Are they oral:,4731,Religious Group (v6),Are they oral:
Religious Text (v1.0),7685,Is the text considered official religious scripture?,4729,Religious Group (v6),Does the religious group have scriptures:
Religious Text (v1.0),8041,Human spirits can be physically felt,4868,Religious Group (v6),Human spirits can be physically felt:
Religious Text (v1.0),8070,Supernatural beings can be physically felt,4899,Religious Group (v6),These supernatural beings can be physically felt:
Religious Group (v5),2311,Supernatural beings (geomorphic):,4769,Religious Group (v6),Supernatural beings (geomorphic):
Religious Group (v5),2945,Non-human supernatural beings are present:,4897,Religious Group (v6),Non-human supernatural beings are present:
Religious Group (v5),3123,Are there orthodoxy checks:,5157,Religious Group (v6),Are there orthodoxy checks:
Religious Group (v5),3174,"Does the religious group in question provide water management (irrigation, flood control):",5190,Religious Group (v6),"Does the religious group in question provide water management (irrigation, flood control):"
Religious Group (v5),2950,Family tomb-crypt:,4824,Religious Group (v6),Family tomb-crypt:
Religious Group (v5),2944,The supreme high god is chthonic (of the underworld):,4831,Religious Group (v6),The supreme high god is chthonic (of the underworld):
Religious Place (v1.1),5823,Supernatural beings (geomorphic),4769,Religious Group (v6),Supernatural beings (geomorphic):
Religious Place (v1.1),5886,Are previously human spirits present:,4866,Religious Group (v6),Previously human spirits are present:
